barcode,item,price,department,
x,Bananas,0.24,produce,
x,Raspberries,2.99,produce,
x,Clementine Mandarines,4.99,produce,
x,Blueberries 1 pt,4.19,produce,
x,Red Seedless Grapes Bag,7.48,produce,
x,Lemon,0.69,produce,
x,Avocado small,0.85,produce,
713733488198,Eggs Dozen,2.29,dairy,
041250102007,Whole Milk Gallon,2.76,dairy,
351000058874,Campbell's Condensed Tomato Soup 10.75oz,1.79,pantry,
713733955379,Yellow Mustard 20oz,1.25,pantry,
012000221866,Rockstar Recovery Strawberry Lemonade,1.99,misc,
013764027121,Dave's Killer Bread Good Seed Thin-Sliced 20.5oz,5.89,bakery,
073435002918,King's Hawaiian Original Sweet Rolls 12 Count,3.99,bakery,
x,Green Bell Pepper,0.85,produce
x,Cucumber,0.75,produce
x,Sweet Potato,0.74,produce
x,Strawberries 16oz,3.49,produce
x,Roma Tomato,0.39,produce
x,Pascal Celery,1.89,produce
x,Broccoli Crown,1.69,produce
x,Green Asparagus Bunch,6.3,produce
x,Bolthouse Farms Baby Cut Carrots 1lb,1.29,produce
x,Boneless Top Sirloin Petite Steak,5.0,produce
x,Boneless Skinless Chicken Breasts,3.09,produce
041911000505,Sprayway Foaming Glass Cleaner 19oz,2.99,misc
019200733524,Lysol All-purpose Spray Lemon Breeze 32oz,4.19,misc
041250562955,Hydrogen Peroxide 32oz,1.29,misc
074653791875,Jack's Original Thin Crust Frozen Pizza,3.99,frozen
008820400801,Frozen California Blend Veggies,0.89,frozen
